event,machine,timestamp,label
Edit generate 8588 bytes performed by USER_B,1,1705852749,1
Logout generate 619 bytes performed by USER_G,1,1707235149,1
Create generate 73507 bytes performed by USER_I,1,1705334349,1
Login generate 54 bytes performed by USER_C,1,1706284749,1
Create generate 25969 bytes performed by USER_N,1,1706025549,1
Edit generate 3667 bytes performed by USER_U,1,1707148749,1
Edit generate 5382 bytes performed by USER_U,1,1706889549,1
Login generate 55 bytes performed by USER_D,1,1706543949,1
Create generate 46504 bytes performed by USER_N,1,1707148749,1
Edit generate 4619500 bytes performed by USER_Q,1,1705593549,-1
Edit generate 8241 bytes performed by USER_L,1,1706371149,1
Logout generate 842 bytes performed by USER_X,1,1705679949,1
Login generate 59 bytes performed by USER_H,1,1705939149,1
Edit generate 9772 bytes performed by USER_J,1,1705766349,1
Logout generate 430500 bytes performed by USER_X,1,1707235149,-1
Logout generate 679 bytes performed by USER_K,1,1705161549,1
Edit generate 9608 bytes performed by USER_U,1,1705334349,1
Create generate 32476 bytes performed by USER_O,1,1706543949,1
Logout generate 729 bytes performed by USER_C,1,1705075149,1
Login generate 64 bytes performed by USER_N,1,1705247949,1
Logout generate 335 bytes performed by USER_M,1,1705334349,1
Edit generate 3358 bytes performed by USER_U,1,1706025549,1
Edit generate 5660 bytes performed by USER_C,1,1706975949,1
Edit generate 8795 bytes performed by USER_Y,1,1706457549,1
Edit generate 4701 bytes performed by USER_B,1,1705075149,1
Logout generate 371 bytes performed by USER_O,1,1705334349,1
Create generate 32740 bytes performed by USER_U,1,1704815949,1
Logout generate 822 bytes performed by USER_C,1,1705075149,1
Edit generate 2375 bytes performed by USER_M,1,1705939149,1
Create generate 44192 bytes performed by USER_P,1,1705852749,1
Create generate 81628 bytes performed by USER_N,1,1705593549,1
Edit generate 8252 bytes performed by USER_X,1,1706371149,1
Login generate 88 bytes performed by USER_L,1,1707235149,1
Login generate 59 bytes performed by USER_Y,1,1706284749,1
Logout generate 363 bytes performed by USER_H,1,1707062349,1
Create generate 10033 bytes performed by USER_P,1,1705852749,1
Logout generate 384 bytes performed by USER_I,1,1707062349,1
Edit generate 8426 bytes performed by USER_O,1,1706803149,1
Logout generate 689 bytes performed by USER_L,1,1705420749,1
Login generate 79 bytes performed by USER_H,1,1706111949,1
Login generate 95 bytes performed by USER_A,1,1705939149,1
Logout generate 333 bytes performed by USER_L,1,1704729549,1
Logout generate 387 bytes performed by USER_W,1,1706371149,1
Edit generate 2305 bytes performed by USER_A,1,1706889549,1
Create generate 22776 bytes performed by USER_I,1,1705247949,1
Logout generate 946 bytes performed by USER_J,1,1704988749,1
Login generate 33 bytes performed by USER_I,1,1706371149,1
Create generate 30794 bytes performed by USER_X,1,1706716749,1
Logout generate 990 bytes performed by USER_C,1,1707235149,1
Create generate 57366 bytes performed by USER_W,1,1704988749,1
Edit generate 4314 bytes performed by USER_U,1,1705420749,1
Edit generate 6708 bytes performed by USER_M,1,1705075149,1
Edit generate 6098 bytes performed by USER_A,1,1705420749,1
Create generate 69715 bytes performed by USER_T,1,1706975949,1
Login generate 27 bytes performed by USER_K,1,1706889549,1
Login generate 44 bytes performed by USER_W,1,1705420749,1
Login generate 6 bytes performed by USER_F,1,1706803149,1
Logout generate 965 bytes performed by USER_T,1,1705247949,1
Login generate 28 bytes performed by USER_J,1,1706457549,1
Edit generate 3277000 bytes performed by USER_W,1,1705593549,-1
Edit generate 3119 bytes performed by USER_X,1,1705161549,1
Logout generate 107 bytes performed by USER_E,1,1706111949,1
Create generate 84135 bytes performed by USER_U,1,1706198349,1
Login generate 82 bytes performed by USER_W,1,1706111949,1
Edit generate 2709 bytes performed by USER_N,1,1704902349,1
Create generate 26271 bytes performed by USER_V,1,1706630349,1
Create generate 51213 bytes performed by USER_D,1,1706198349,1
Login generate 55 bytes performed by USER_P,1,1705939149,1
Logout generate 852 bytes performed by USER_I,1,1704815949,1
Create generate 51783 bytes performed by USER_Q,1,1706025549,1
Login generate 29 bytes performed by USER_X,1,1704729549,1
Edit generate 7874 bytes performed by USER_A,1,1706630349,1
Create generate 78726 bytes performed by USER_L,1,1706198349,1
Edit generate 1603 bytes performed by USER_L,1,1706716749,1
Edit generate 6233 bytes performed by USER_L,1,1706975949,1
Edit generate 4095 bytes performed by USER_D,1,1707235149,1
Login generate 57 bytes performed by USER_Q,1,1706371149,1
Logout generate 645 bytes performed by USER_R,1,1707235149,1
Login generate 58 bytes performed by USER_X,1,1705075149,1
Create generate 30079 bytes performed by USER_Z,1,1707148749,1
Login generate 27 bytes performed by USER_X,1,1706111949,1
Logout generate 967 bytes performed by USER_T,1,1704902349,1
Login generate 8 bytes performed by USER_O,1,1706457549,1
Login generate 40 bytes performed by USER_I,1,1707148749,1
Create generate 86287 bytes performed by USER_P,1,1706803149,1
Create generate 34724 bytes performed by USER_M,1,1707148749,1
Login generate 3 bytes performed by USER_A,1,1706371149,1
Logout generate 284 bytes performed by USER_A,1,1707062349,1
Logout generate 662 bytes performed by USER_G,1,1705334349,1
Create generate 13862 bytes performed by USER_F,1,1705939149,1
Logout generate 135 bytes performed by USER_O,1,1705679949,1
Logout generate 686 bytes performed by USER_M,1,1706716749,1
Edit generate 3244 bytes performed by USER_M,1,1705766349,1
Logout generate 975 bytes performed by USER_A,1,1707235149,1
Edit generate 9149 bytes performed by USER_L,1,1704988749,1
Logout generate 354 bytes performed by USER_D,1,1704729549,1
Logout generate 288 bytes performed by USER_T,1,1705420749,1
Login generate 86 bytes performed by USER_P,1,1705939149,1
Create generate 45015 bytes performed by USER_L,1,1706543949,1
Create generate 91424 bytes performed by USER_Y,1,1705075149,1
Logout generate 186 bytes performed by USER_G,1,1706025549,1
Logout generate 705 bytes performed by USER_Q,1,1706716749,1
Edit generate 4907 bytes performed by USER_R,1,1704815949,1
Logout generate 385000 bytes performed by USER_N,1,1705420749,-1
Logout generate 792 bytes performed by USER_I,1,1707148749,1
Create generate 39666 bytes performed by USER_D,1,1706803149,1
Edit generate 4569 bytes performed by USER_T,1,1705334349,1
Edit generate 6367 bytes performed by USER_M,1,1706111949,1
Login generate 64 bytes performed by USER_D,1,1705593549,1
Login generate 2500 bytes performed by USER_Y,1,1705766349,-1
Create generate 75541 bytes performed by USER_J,1,1706543949,1
